Tab,X,low,high,CI,mean
6c - river width,150,45,60,85,50
6c - river width,200,70,90,85,80
6c - river width,250,90,110,95,100
6c - river width,500,90,110,95,100
6c - river width,1000,90,110,95,100
6c - percent pool,5,0.05,0.1,75,0.075
6c - percent pool,50,0.05,0.1,75,0.075
6c - percent pool,100,0.05,0.1,75,0.075
6c - percent pool,150,0.05,0.1,75,0.075
6c - percent pool,200,0.05,0.1,75,0.075
6c - percent pool,250,0.05,0.1,75,0.075
6c - percent pool,500,0.05,0.1,75,0.075
6c - percent pool,1000,0.05,0.1,75,0.075
7a,5,1,1.001,95,1
7a,50,1,1.001,95,1
7a,100,1,1.001,95,1
7a,150,1,1.001,95,1
7a,200,1,1.001,95,1
7a,250,1,1.001,95,1
7a,500,1,1.001,95,1
7a,1000,1,1.001,95,1
7a,1500,1.01,1.02,70,1.015
7a,2000,1.01,1.02,70,1.015
7a,2500,1.01,1.02,70,1.015
7a,3000,1.01,1.02,70,1.015
7a,4000,1,1.001,85,1
7a,5000,1,1.001,90,1
7a,6000,1,1.001,95,1
7a,7000,1,1.001,95,1
7b,5,1,1.001,95,1
7b,50,1,1.001,95,1
7b,100,1,1.001,95,1
7b,150,1,1.001,95,1
7b,200,1,1.001,95,1
7b,250,1,1.001,95,1
7b,500,1,1.001,95,1
7b,1000,1,1.001,95,1
7b,1500,1.01,1.02,70,1.015
7b,2000,1.01,1.02,70,1.015
7b,2500,1.01,1.02,70,1.015
7b,3000,1.01,1.02,70,1.015
7b,4000,1,1.001,85,1
7b,5000,1,1.001,90,1
7b,6000,1,1.001,95,1
7b,7000,1,1.001,95,1
7c,5,1,1.001,95,1
7c,50,1,1.001,95,1
7c,100,1,1.001,95,1
7c,150,1,1.001,95,1
7c,200,1,1.001,95,1
7c,250,1,1.001,95,1
7c,500,1,1.001,95,1
7c,1000,1.01,1.02,95,1.015
7c,1500,1.01,1.02,85,1.015
7c,2000,1.01,1.02,85,1.015
7c,2500,1.01,1.02,85,1.015
7c,3000,1.01,1.02,85,1.015
7c,4000,1,1.001,95,1
7c,5000,1,1.001,95,1
7c,6000,1,1.001,95,1
7c,7000,1,1.001,95,1
