Tab,X,low,high,CI,mean
1,3/2/2020,0.1,0.2,80,0.15
1,3/12/2020,0.1,0.2,80,0.15
1,3/22/2020,0.1,0.3,90,0.2
1,4/1/2020,0.4,0.8,90,0.6
1,4/11/2020,0.5,0.8,90,0.6
1,4/21/2020,0.7,0.95,90,0.8
1,5/1/2020,1,1,NA,1
1,5/11/2020,1.5,1.75,90,1.6
1,5/21/2020,1.25,1.5,90,1.4
1,5/31/2020,1,1.25,90,1.15
1,6/10/2020,0.7,0.9,80,0.8
1,6/20/2020,0.5,0.7,75,0.6
1,6/30/2020,0.3,0.5,70,0.4
2,NA,100,500,95,200
3a,5,0.05,0.1,75,0.08
3a,50,0.05,0.1,75,0.08
3a,100,0.1,0.2,75,0.15
3a,150,0.5,0.7,75,0.6
3a,200,0.5,0.7,80,0.6
3a,250,0.5,0.7,80,0.6
3a,500,1,1,NA,1
3a,1000,1.25,1.5,90,1.3
3a,1500,1.5,2,95,1.75
3a,2000,2,2.25,95,2.2
3a,2500,4,6,95,5
3a,3000,9,11,95,10
3a,4000,9.5,11.5,95,10.5
3a,5000,9,11,95,10
3a,6000,9.5,11.5,95,10.5
3a,7000,10,12,95,11
3b,5,0.05,0.1,75,0.08
3b,50,0.05,0.1,75,0.08
3b,100,0.1,0.2,75,0.15
3b,150,0.5,0.7,75,0.6
3b,200,0.5,0.7,80,0.6
3b,250,0.5,0.7,80,0.6
3b,500,1,1,NA,1
3b,1000,1.25,1.5,90,1.3
3b,1500,1.5,2,95,1.75
3b,2000,2,2.25,95,2.2
3b,2500,4,6,95,5
3b,3000,9,11,95,10
3b,4000,9.5,11.5,95,10.5
3b,5000,9,11,95,10
3b,6000,9.5,11.5,95,10.5
3b,7000,10,12,95,11
3c,5,0.05,0.1,75,0.08
3c,50,0.05,0.1,75,0.08
3c,100,0.1,0.2,75,0.15
3c,150,0.6,0.8,75,0.7
3c,200,0.6,0.8,80,0.7
3c,250,0.6,0.8,80,0.7
3c,500,1,1,NA,1
3c,1000,1.25,1.5,90,1.3
3c,1500,1.5,2,95,1.75
3c,2000,2,2.25,95,2.2
3c,2500,4,6,95,5
3c,3000,9,11,95,10
3c,4000,9.5,11.5,95,10.5
3c,5000,9,11,95,10
3c,6000,9.5,11.5,95,10.5
3c,7000,10,12,95,11
3d,5,0.05,0.1,75,0.08
3d,50,0.05,0.1,75,0.08
3d,100,0.1,0.2,75,0.15
3d,150,0.6,0.8,75,0.7
3d,200,0.6,0.8,80,0.7
3d,250,0.6,0.8,80,0.7
3d,500,1,1,NA,1
3d,1000,1.25,1.5,90,1.3
3d,1500,1.5,2,95,1.75
3d,2000,2,2.25,95,2.2
3d,2500,4,6,95,5
3d,3000,9,11,95,10
3d,4000,9.5,11.5,95,10.5
3d,5000,9,11,95,10
3d,6000,9.5,11.5,95,10.5
3d,7000,10,12,95,11
3e,5,0.05,0.1,75,0.08
3e,50,0.05,0.1,75,0.08
3e,100,0.1,0.2,75,0.15
3e,150,0.6,0.8,75,0.7
3e,200,0.8,1,80,0.9
3e,250,0.8,1,80,0.9
3e,500,1,1,NA,0
3e,1000,1.25,1.5,90,1.3
3e,1500,1.5,2,95,1.75
3e,2000,2,2.25,95,2.2
3e,2500,4,6,95,5
3e,3000,9,11,95,10
3e,4000,9.5,11.5,95,10.5
3e,5000,9,11,95,10
3e,6000,9.5,11.5,95,10.5
3e,7000,10,12,95,11
3f,5,0.05,0.1,75,0.08
3f,50,0.05,0.1,75,0.08
3f,100,0.1,0.2,75,0.15
3f,150,0.6,0.8,75,0.7
3f,200,0.8,1,80,0.9
3f,250,0.8,1,80,0.9
3f,500,1,1,NA,0
3f,1000,1.25,1.5,90,1.3
3f,1500,1.5,2,95,1.75
3f,2000,2,2.25,95,2.2
3f,2500,4,6,95,5
3f,3000,9,11,95,10
3f,4000,9.5,11.5,95,10.5
3f,5000,9,11,95,10
3f,6000,9.5,11.5,95,10.5
3f,7000,10,12,95,11
4,NA,14,21,95,15
5a,NA,0.1,0.2,70,0.15
5b,15-Mar,0.80,0.90,90,0.85
5b,1-Apr,0.80,0.90,90,0.85
5b,15-Apr,0.80,0.90,90,0.85
5b,1-May,0.80,0.90,90,0.85
5b,15-May,0.70,0.80,90,0.75
5b,1-Jun,0.50,0.60,85,0.55
5b,15-Jun,0.30,0.40,85,0.35
5b,1-Jul,0.30,0.40,75,0.35
6a - river width,5,2,3,70,2.5
6a - river width,50,15,20,75,17
6a - river width,100,30,40,80,35
6a - river width,150,45,60,85,50
6a - river width,200,60,70,85,65
6a - river width,250,75,100,95,100
6a - river width,500,75,100,95,100
6a - river width,1000,75,100,95,100
6a - percent pool,5,0.05,0.1,75,0.075
6a - percent pool,50,0.05,0.1,75,0.075
6a - percent pool,100,0.05,0.1,75,0.075
6a - percent pool,150,0.05,0.1,75,0.075
6a - percent pool,200,0.05,0.1,75,0.075
6a - percent pool,250,0.05,0.1,75,0.075
6a - percent pool,500,0.05,0.1,75,0.075
6a - percent pool,1000,0.05,0.1,75,0.075
6b - river width,5,2,3,70,2.5
6b - river width,50,15,20,75,17
6b - river width,100,30,40,80,35
6b - river width,150,40,60,95,50
6b - river width,200,40,60,95,50
6b - river width,250,40,60,95,50
6b - river width,500,40,60,95,50
6b - river width,1000,40,60,95,50
6b - percent pool,5,0.05,0.1,75,0.075
6b - percent pool,50,0.05,0.1,75,0.075
6b - percent pool,100,0.05,0.1,75,0.075
6b - percent pool,150,0.05,0.1,75,0.075
6b - percent pool,200,0.05,0.1,75,0.075
6b - percent pool,250,0.05,0.1,75,0.075
6b - percent pool,500,0.05,0.1,75,0.075
6b - percent pool,1000,0.05,0.1,75,0.075
6c - river width,5,2,3,70,2.5
6c - river width,50,15,20,75,17
6c - river width,100,30,40,80,35
