Tab,X,low,high,CI,mean
5b,15-Apr,0.40,0.80,95,0.50
5b,1-May,0.25,0.70,95,0.40
5b,15-May,0.25,0.50,95,0.40
5b,1-Jun,0.05,0.35,95,0.30
5b,15-Jun,0.05,0.25,95,0.20
5b,1-Jul,0.05,0.20,95,0.10
6a - river width,5,1,5,90,3
6a - river width,50,5,30,95,15
6a - river width,100,25,50,95,25
6a - river width,150,25,100,95,35
6a - river width,200,25,100,95,35
6a - river width,250,25,100,95,35
6a - river width,500,35,100,95,50
6a - river width,1000,50,120,95,100
6a - percent pool,5,0.001,0.04,90,0.01
6a - percent pool,50,0.001,0.04,95,0.01
6a - percent pool,100,0.001,0.04,95,0.01
6a - percent pool,150,0.001,0.04,95,0.01
6a - percent pool,200,0.001,0.04,95,0.01
6a - percent pool,250,0.001,0.04,95,0.01
6a - percent pool,500,0.001,0.04,95,0.01
6a - percent pool,1000,0.001,0.04,95,0.01
6b - river width,5,1,5,90,3
6b - river width,50,5,30,95,15
6b - river width,100,25,50,95,25
6b - river width,150,25,100,95,35
6b - river width,200,25,100,95,35
6b - river width,250,25,100,95,35
6b - river width,500,35,100,95,50
6b - river width,1000,50,100,95,80
6b - percent pool,5,0.001,0.04,90,0.01
6b - percent pool,50,0.001,0.04,95,0.01
6b - percent pool,100,0.001,0.04,95,0.01
6b - percent pool,150,0.001,0.04,95,0.01
6b - percent pool,200,0.001,0.04,95,0.01
6b - percent pool,250,0.001,0.04,95,0.01
6b - percent pool,500,0.001,0.04,95,0.01
6b - percent pool,1000,0.001,0.04,95,0.01
6c - river width,5,1,5,90,3
6c - river width,50,5,30,95,15
6c - river width,100,25,50,95,25
6c - river width,150,25,100,95,35
6c - river width,200,25,100,95,35
6c - river width,250,25,100,95,35
6c - river width,500,35,100,95,50
6c - river width,1000,50,120,95,100
6c - percent pool,5,0.001,0.04,90,0.01
6c - percent pool,50,0.001,0.04,95,0.01
6c - percent pool,100,0.001,0.04,95,0.01
6c - percent pool,150,0.001,0.04,95,0.01
6c - percent pool,200,0.001,0.04,95,0.01
6c - percent pool,250,0.001,0.04,95,0.01
6c - percent pool,500,0.001,0.04,95,0.01
6c - percent pool,1000,0.001,0.04,95,0.01
7a,5,0,0.01,95,0
7a,50,0,0.01,95,0
7a,100,0,0.01,95,0
7a,150,0,0.01,95,0
7a,200,0,0.01,95,0
7a,250,0,0.01,95,0
7a,500,0,0.01,95,0
7a,1000,1.1,1.5,80,1.25
7a,1500,1.5,2,80,1.5
7a,2000,2,3,80,2
7a,2500,3,4,80,3
7a,3000,2,3,80,2
7a,4000,1,2,80,1.5
7a,5000,1,2,80,1.5
7a,6000,1,2,80,1.5
7a,7000,1,2,80,1.5
7b,5,0,0.01,95,0
7b,50,0,0.01,95,0
7b,100,0,0.01,95,0
7b,150,0,0.01,95,0
7b,200,0,0.01,95,0
7b,250,0,0.01,95,0
7b,500,0,0.01,95,0
7b,1000,1.1,1.5,80,1.25
7b,1500,1.5,2,80,1.5
7b,2000,2,3,80,2
7b,2500,3,4,80,3
7b,3000,2,3,80,2
7b,4000,1,2,80,1.5
7b,5000,1,2,80,1.5
7b,6000,1,2,80,1.5
7b,7000,1,2,80,1.5
7c,5,0,0.01,95,0
7c,50,0,0.01,95,0
7c,100,0,0.01,95,0
7c,150,0,0.01,95,0
7c,200,0,0.01,95,0
7c,250,0,0.01,95,0
7c,500,0,0.01,95,0
7c,1000,1.1,1.5,80,1.25
7c,1500,1.5,2,80,1.5
7c,2000,2,3,80,2
7c,2500,3,4,80,3
7c,3000,2,3,80,2
7c,4000,1,2,80,1.5
7c,5000,1,2,80,1.5
7c,6000,1,2,80,1.5
7c,7000,1,2,80,1.5
