Tab,X,low,high,CI,mean
1,3/2/2020,0,0.001,95,0
1,3/12/2020,0,0.001,95,0
1,3/22/2020,0,0.1,80,0
1,4/1/2020,0.01,0.1,75,0.025
1,4/11/2020,0.1,0.25,75,0.25
1,4/21/2020,0.75,1.5,75,1
1,5/1/2020,1,1,NA,1
1,5/11/2020,0.75,1.5,75,1
1,5/21/2020,0.75,1.5,75,1
1,5/31/2020,0.5,1.25,75,1
1,6/10/2020,0.5,0.75,80,0.5
1,6/20/2020,0.25,0.5,85,0.25
1,6/30/2020,0.05,0.1,95,0.1
2,NA,400,700,50,500
3a,5,0.01,0.1,50,0.01
3a,50,0.01,0.1,50,0.01
3a,100,0.1,0.15,50,0.1
3a,150,0.1,0.15,50,0.1
3a,200,0.9,1.1,50,1
3a,250,0.9,1.1,50,1
3a,500,1,1,NA,1
3a,1000,1.5,2.5,50,2
3a,1500,3,3.5,50,3
3a,2000,4,5,50,4
3a,2500,5,6,50,5
3a,3000,5,7,50,6
3a,4000,6,7,50,6
3a,5000,6,7,50,6
3a,6000,6,7,50,6
3a,7000,6,7,50,6
3b,5,0.01,0.1,80,0.01
3b,50,0.01,0.1,80,0.01
3b,100,0.1,0.15,80,0.1
3b,150,0.1,0.15,80,0.1
3b,200,0.5,0.75,80,0.6
3b,250,0.75,1,80,0.8
3b,500,1,1,NA,1
3b,1000,2,2.5,80,2
3b,1500,3,3.5,80,3
3b,2000,4,5,80,4
3b,2500,5,6,80,5
3b,3000,5,7,80,6
3b,4000,6,7,80,6
3b,5000,6,7,80,6
3b,6000,6,7,80,6
3b,7000,6,7,80,6
3c,5,0.01,0.1,50,0.01
3c,50,0.01,0.1,50,0.01
3c,100,0.1,0.15,50,0.1
3c,150,0.1,0.15,50,0.1
3c,200,0.1,0.15,50,0.1
3c,250,0.1,0.15,50,0.1
3c,500,1,1,NA,1
3c,1000,1,1.5,50,1
3c,1500,2,2.5,50,2
3c,2000,2.5,4,50,3
3c,2500,3,4,50,3.5
3c,3000,4,5,50,4
3c,4000,5,6,50,5
3c,5000,5,6,50,5
3c,6000,5,6,50,5
3c,7000,5,6,50,5
3d,5,0.01,0.1,50,0.01
3d,50,0.01,0.1,50,0.01
3d,100,0.1,0.15,50,0.1
3d,150,0.1,0.15,50,0.1
3d,200,0.1,0.15,50,0.1
3d,250,0.1,0.15,50,0.1
3d,500,1,1,NA,1
3d,1000,2,4,50,3
3d,1500,3,5,50,4
3d,2000,4,6,50,5
3d,2500,5,7,50,6
3d,3000,6,8,50,7
3d,4000,7,8,50,7
3d,5000,7,8,50,7
3d,6000,7,8,50,7
3d,7000,7,8,50,7
3e,5,0.01,0.1,50,0.01
3e,50,0.01,0.1,50,0.01
3e,100,0.1,0.15,50,0.1
3e,150,0.1,0.15,50,0.1
3e,200,0.1,0.15,50,0.1
3e,250,0.1,0.15,50,0.1
3e,500,1,1,NA,1
3e,1000,1.25,2,50,1.5
3e,1500,3,4,50,3.5
3e,2000,4,5,50,4
3e,2500,5,6,50,5
3e,3000,6,7,50,6
3e,4000,6,8,50,7
3e,5000,6,9,50,8
3e,6000,6,9,50,8
3e,7000,6,9,50,8
3f,5,0.01,0.1,50,0.01
3f,50,0.01,0.1,50,0.01
3f,100,0.1,0.15,50,0.1
3f,150,0.1,0.15,50,0.1
3f,200,0.1,0.15,50,0.1
3f,250,0.1,0.15,50,0.1
3f,500,1,1,NA,1
3f,1000,3,6,50,5
3f,1500,4,6,50,5
3f,2000,5,7,50,6
3f,2500,6,7,50,6
3f,3000,7,8,50,7
3f,4000,8,10,50,9
3f,5000,9,12,50,10
3f,6000,10,12,50,10
3f,7000,10,12,50,10
4,NA,15,45,95,25
5a,NA,0,0.1,90,0.03
5b,15-Mar,0.40,0.80,95,0.50
5b,1-Apr,0.40,0.80,95,0.50
