Tab,X,low,high,CI,mean
1,3/2/2020,0.005,0.05,90,0.0275
1,3/12/2020,0.1,0.2,90,0.15
1,3/22/2020,0.2,0.4,80,0.3
1,4/1/2020,0.5,0.7,80,0.6
1,4/11/2020,0.8,0.9,80,0.85
1,4/21/2020,1.1,1.5,90,1.3
1,5/1/2020,1,1,NA,1
1,5/11/2020,1.6,2.75,90,2.175
1,5/21/2020,2,5,95,3.5
1,5/31/2020,1.5,2.7,90,2.1
1,6/10/2020,1.3,1.7,80,1.5
1,6/20/2020,1.1,1.2,80,1.15
1,6/30/2020,1.005,1.1,75,1.0525
2,NA,10,1710,90,670
3a,5,0.5,2,65,1.25
3a,50,2,5,90,3.5
3a,100,1.5,3,85,2.25
3a,150,1,1.00001,80,1.000005
3a,200,1,1.00001,90,1.000005
3a,250,1,1.00001,90,1.000005
3a,500,1,1,NA,1
3a,1000,1,1.00001,90,1.000005
3a,1500,1.0001,1.0005,90,1.0003
3a,2000,1.0001,1.0005,90,1.0003
3a,2500,1.005,1.05,90,1.0275
3a,3000,1.05,1.1,90,1.075
3a,4000,1.2,2,90,1.6
3a,5000,1.3,2,80,1.65
3a,6000,1.2,1.5,75,1.35
3a,7000,1,1.05,65,1.025
3b,5,0.5,2,65,1.25
3b,50,2,5,90,3.5
3b,100,1.5,3,85,2.25
3b,150,1,1.00001,80,1.000005
3b,200,1,1.00001,90,1.000005
3b,250,1,1.00001,90,1.000005
3b,500,1,1,NA,1
3b,1000,1,1.00001,90,1.000005
3b,1500,1.0001,1.05,90,1.02505
3b,2000,1.05,1.1,90,1.075
3b,2500,1.05,1.5,90,1.275
3b,3000,1.1,2,90,1.55
3b,4000,1.4,2.5,90,1.95
3b,5000,1.3,2,80,1.65
3b,6000,1.2,1.5,75,1.35
3b,7000,1,1.05,65,1.025
3c,5,0.5,2,65,1.25
3c,50,2,5,90,3.5
3c,100,1.5,3,85,2.25
3c,150,1,1.00001,80,1.000005
3c,200,1,1.00001,90,1.000005
3c,250,1,1.00001,90,1.000005
3c,500,1,1,NA,1
3c,1000,1,1.00001,90,1.000005
3c,1500,1.0001,1.05,90,1.02505
3c,2000,1.01,1.1,90,1.055
3c,2500,1.05,1.15,90,1.1
3c,3000,1.1,1.5,90,1.3
3c,4000,1.3,2.2,90,1.75
3c,5000,1.2,1.7,80,1.45
3c,6000,1.05,1.5,75,1.275
3c,7000,1,1.05,65,1.025
3d,5,0.5,2,65,1.25
3d,50,2,5,90,3.5
3d,100,1.5,3,85,2.25
3d,150,1,1.00001,80,1.000005
3d,200,1,1.00001,90,1.000005
3d,250,1,1.00001,90,1.000005
3d,500,1,1,NA,1
3d,1000,1,1.00001,90,1.000005
3d,1500,1.03,1.3,90,1.165
3d,2000,1.05,1.7,90,1.375
