Tab,X,low,high,CI,mean
5b,15-May,0.25,0.65,60,0.50
5b,1-Jun,0.20,0.60,60,0.40
5b,15-Jun,0.15,0.50,60,0.30
5b,1-Jul,0.10,0.40,60,0.20
6a - river width,5,1,3,90,2
6a - river width,50,5,20,50,15
6a - river width,100,10,30,50,20
6a - river width,150,20,50,60,40
6a - river width,200,30,80,60,60
6a - river width,250,30,85,50,70
6a - river width,500,35,90,50,75
6a - river width,1000,50,100,50,80
6a - percent pool,5,0.01,0.02,90,0.01
6a - percent pool,50,0.01,0.02,50,0.01
6a - percent pool,100,0.01,0.02,50,0.01
6a - percent pool,150,0.01,0.02,50,0.02
6a - percent pool,200,0.01,0.04,50,0.03
6a - percent pool,250,0.01,0.05,50,0.04
6a - percent pool,500,0.01,0.06,50,0.05
6a - percent pool,1000,0.01,0.07,50,0.05
6b - river width,5,1,3,60,2
6b - river width,50,5,25,60,20
6b - river width,100,10,40,60,30
6b - river width,150,15,50,60,40
6b - river width,200,20,55,60,45
6b - river width,250,30,60,60,50
6b - river width,500,40,100,60,60
6b - river width,1000,50,125,60,100
6b - percent pool,5,0.01,0.02,90,0.015
6b - percent pool,50,0.01,0.1,75,0.08
6b - percent pool,100,0.01,0.1,60,0.08
6b - percent pool,150,0.02,0.15,50,0.1
6b - percent pool,200,0.02,0.15,50,0.1
6b - percent pool,250,0.02,0.15,50,0.1
6b - percent pool,500,0.02,0.15,50,0.08
6b - percent pool,1000,0.03,0.2,50,0.07
6c - river width,5,1,3,60,2
6c - river width,50,5,15,60,12
6c - river width,100,10,20,60,15
6c - river width,150,15,25,60,20
6c - river width,200,20,30,60,25
6c - river width,250,40,60,60,50
6c - river width,500,50,75,60,60
6c - river width,1000,100,150,60,110
6c - percent pool,5,0.01,0.05,50,0.02
6c - percent pool,50,0.01,0.05,50,0.03
6c - percent pool,100,0.03,0.08,50,0.04
6c - percent pool,150,0.05,0.1,50,0.07
6c - percent pool,200,0.05,0.2,50,0.08
6c - percent pool,250,0.05,0.07,50,0.07
6c - percent pool,500,0.05,0.07,50,0.05
6c - percent pool,1000,0.03,0.05,50,0.03
7a,5,1.1,1.2,70,1.15
7a,50,1.1,1.2,70,1.15
7a,100,1.1,1.2,70,1.15
7a,150,1.1,1.2,70,1.15
7a,200,1.1,1.2,70,1.15
7a,250,1.1,1.2,70,1.15
7a,500,1.25,1.5,70,1.3
7a,1000,1.4,1.6,60,1.5
7a,1500,1.5,1.7,60,1.6
7a,2000,1.6,1.8,60,1.7
7a,2500,1.65,1.9,60,1.8
7a,3000,1.7,2,60,1.9
7a,4000,1.8,2.2,50,2
7a,5000,1.5,2.2,50,2
7a,6000,1.5,2.2,50,2
7a,7000,1.5,2.2,50,2
7b,5,1.1,1.2,75,1.1
7b,50,1.1,1.2,75,1.1
7b,100,1.1,1.2,75,1.1
7b,150,1.1,1.2,75,1.1
7b,200,1.1,1.2,75,1.1
7b,250,1.1,1.2,75,1.1
7b,500,1.5,1.6,75,1.55
7b,1000,1.6,1.75,75,1.65
7b,1500,1.7,1.8,75,1.75
7b,2000,1.8,2,75,1.9
7b,2500,1.9,2.4,60,2.05
7b,3000,1.9,2.5,60,2.15
7b,4000,1.9,2.6,50,2.2
7b,5000,1.9,2.7,50,2.3
7b,6000,2,3,50,2.4
7b,7000,2,3,50,2.4
7c,5,1.1,1.2,90,1.15
7c,50,1.1,1.2,90,1.15
7c,100,1.1,1.2,90,1.15
7c,150,1.1,1.2,90,1.15
7c,200,1.1,1.2,90,1.15
7c,250,1.1,1.2,90,1.15
7c,500,1.5,1.6,75,1.55
7c,1000,1.6,1.75,75,1.65
7c,1500,1.7,1.8,75,1.75
7c,2000,1.8,2,75,1.85
7c,2500,1.8,2.5,60,2
7c,3000,1.9,2.7,50,2.2
7c,4000,2,3,50,2.5
7c,5000,2,3,50,2.5
7c,6000,2,3,50,2.5
7c,7000,2,3,50,2.5
