Tab,X,low,high,CI,mean
1,3/2/2020,0.02,0.04,75,0.03
1,3/12/2020,0.04,0.06,75,0.05
1,3/22/2020,0.05,0.08,70,0.07
1,4/1/2020,0.1,0.2,70,0.15
1,4/11/2020,0.5,0.75,70,0.6
1,4/21/2020,0.75,1,70,0.8
1,5/1/2020,1,1,NA,1
1,5/11/2020,1,1.5,75,1
1,5/21/2020,1,1.5,75,1
1,5/31/2020,1,1.5,75,1
1,6/10/2020,0.5,0.75,60,0.6
1,6/20/2020,0.05,0.25,50,0.1
1,6/30/2020,0.03,0.1,50,0.05
2,NA,200,500,50,400
3a,5,0.05,0.1,50,0.07
3a,50,0.05,0.2,50,0.15
3a,100,0.05,0.2,50,0.15
3a,150,0.05,0.2,50,0.15
3a,200,0.05,0.2,50,0.15
3a,250,0.05,0.2,50,0.15
3a,500,1,1,NA,1
3a,1000,0.55,1.6,50,1.1
3a,1500,0.6,1.8,50,1.2
3a,2000,0.7,2,50,1.5
3a,2500,0.8,2.5,50,1.75
3a,3000,0.9,3,50,2
3a,4000,1,4,50,2.5
3a,5000,1.5,5,75,3
3a,6000,3,5,50,4
3a,7000,3,5,50,4
3b,5,0.05,0.1,50,0.07
3b,50,0.05,0.2,50,0.15
3b,100,0.05,0.2,50,0.15
3b,150,0.05,0.2,50,0.15
3b,200,0.05,0.2,50,0.15
3b,250,0.05,0.2,50,0.15
3b,500,1,1,NA,1
3b,1000,0.6,1.5,50,1
3b,1500,0.6,1.75,50,1
3b,2000,0.7,1.75,50,1
3b,2500,0.7,1.75,50,1
3b,3000,0.7,1.75,50,1
3b,4000,0.7,1.75,50,1
3b,5000,1.5,5,75,3
3b,6000,3,5,75,4
3b,7000,3,5,75,4
3c,5,0.05,0.1,50,0.07
3c,50,0.05,0.2,50,0.15
3c,100,0.05,0.2,50,0.15
3c,150,0.05,0.2,50,0.15
3c,200,0.05,0.2,50,0.15
3c,250,0.05,0.2,50,0.15
3c,500,1,1,NA,1
3c,1000,0.6,1.8,50,1.2
3c,1500,0.7,2,50,1.5
3c,2000,0.8,2.5,50,1.75
3c,2500,0.9,3,50,2
3c,3000,1,4,60,3
3c,4000,1.5,5,75,4
3c,5000,4,8,75,6
3c,6000,6,10,75,8
3c,7000,8,12,75,10
3d,5,0.05,0.1,50,0.07
3d,50,0.05,0.2,50,0.15
3d,100,0.05,0.2,50,0.15
3d,150,0.05,0.2,50,0.15
3d,200,0.05,0.2,50,0.15
3d,250,0.05,0.2,50,0.15
3d,500,1,1,NA,1
3d,1000,1,2,50,1.25
3d,1500,1,2,50,1.25
3d,2000,1,2,50,1.25
3d,2500,1,2,50,1.25
3d,3000,1,2,50,1.25
3d,4000,1,2,50,1.25
3d,5000,4,8,75,6
3d,6000,6,10,75,8
3d,7000,8,12,75,10
3e,5,0.05,0.1,50,0.07
3e,50,0.05,0.2,50,0.15
3e,100,0.05,0.2,50,0.15
3e,150,0.05,0.2,50,0.15
3e,200,0.05,0.2,50,0.15
3e,250,0.05,0.2,50,0.15
3e,500,1,1,NA,1
3e,1000,0.6,1.8,50,1.2
3e,1500,0.7,2,50,1.5
3e,2000,0.9,3,50,2
3e,2500,1,4,60,3
3e,3000,1.5,5,60,4
3e,4000,4,8,60,6
3e,5000,6,10,75,8
3e,6000,8,12,75,10
3e,7000,10,14,75,12
3f,5,0.05,0.1,50,0.07
3f,50,0.05,0.2,50,0.15
3f,100,0.05,0.2,50,0.15
3f,150,0.05,0.2,50,0.15
3f,200,0.05,0.2,50,0.15
3f,250,0.05,0.2,50,0.15
3f,500,1,1,NA,1
3f,1000,0.6,1.8,50,1
3f,1500,0.7,2,50,1
3f,2000,0.7,2,50,1
3f,2500,1,4,60,3
3f,3000,1.5,5,60,4
3f,4000,4,8,60,6
3f,5000,6,10,75,8
3f,6000,8,12,75,10
3f,7000,10,14,75,12
4,NA,16,24,75,22
5a,NA,0,0.25,50,0.1
5b,15-Mar,0.50,0.90,60,0.75
5b,1-Apr,0.40,0.80,60,0.70
5b,15-Apr,0.35,0.75,60,0.65
5b,1-May,0.30,0.70,60,0.60
